name,date,fight_id,win/loss,method,body,body_attempts,clinch,clinch_attempts,distance,distance_attempts,ground,ground_attempts,head,head_attempts,knockdowns,leg,leg_attempts,location,pass,referee,reversals,round,sig_attempts,sig_strikes,strike_attempts,strikes,sub_attempts,takedowns,td_attempts,title
Adriano Martins,"September 09, 2017",30,L,KO/TKO,0,0,0,0,16,31,0,0,8,21,0,8,10,"Edmonton, Alberta, Canada",0,John McCarthy,0,3,31,16,31,16,1,0,0,UFC 215: Nunes vs Shevchenko 2
Alexander Volkov,"September 02, 2017",31,W,KO/TKO,18,27,3,11,114,214,18,28,84,178,1,33,48,"Rotterdam, Zuid-Holland, Netherlands",1,Marc Goddard,0,3,253,135,264,144,0,2,2,UFC Fight Night: Volkov vs. Struve
Stefan Struve,"September 02, 2017",31,L,KO/TKO,8,27,0,0,41,162,0,0,26,125,0,7,10,"Rotterdam, Zuid-Holland, Netherlands",0,Marc Goddard,0,3,162,41,162,41,0,0,0,UFC Fight Night: Volkov vs. Struve
Siyar Bahadurzada,"September 02, 2017",32,W,KO/TKO,7,7,14,16,18,43,11,22,36,74,3,0,0,"Rotterdam, Zuid-Holland, Netherlands",0,Leon Roberts,0,2,81,43,82,44,1,0,0,UFC Fight Night: Volkov vs. Struve
Rob Wilkinson,"September 02, 2017",32,L,KO/TKO,4,6,2,3,22,43,0,0,11,30,0,9,10,"Rotterdam, Zuid-Holland, Netherlands",0,Leon Roberts,0,2,46,24,58,34,0,2,5,UFC Fight Night: Volkov vs. Struve
Marion Reneau,"September 02, 2017",33,W,KO/TKO,9,10,10,11,24,68,23,48,47,116,0,1,1,"Rotterdam, Zuid-Holland, Netherlands",2,Kevin Sataki,1,3,127,57,192,118,5,0,0,UFC Fight Night: Volkov vs. Struve
Talita Bernardo,"September 02, 2017",33,L,KO/TKO,4,5,1,1,18,83,3,4,11,75,0,7,8,"Rotterdam, Zuid-Holland, Netherlands",2,Kevin Sataki,0,3,88,22,112,38,1,3,7,UFC Fight Night: Volkov vs. Struve
Leon Edwards,"September 02, 2017",34,W,Decision,3,4,2,2,21,49,0,0,13,40,0,7,7,"Rotterdam, Zuid-Holland, Netherlands",5,Neil Hall,0,3,51,23,87,58,3,3,6,UFC Fight Night: Volkov vs. Struve
Bryan Barberena,"September 02, 2017",34,L,Decision,9,10,23,24,17,56,4,7,28,65,1,7,12,"Rotterdam, Zuid-Holland, Netherlands",0,Neil Hall,0,3,87,44,163,115,1,0,0,UFC Fight Night: Volkov vs. Struve
Darren Till,"September 02, 2017",35,W,Decision,1,1,1,1,32,67,16,19,42,79,0,6,7,"Rotterdam, Zuid-Holland, Netherlands",0,Marc Goddard,0,3,87,49,88,50,0,1,1,UFC Fight Night: Volkov vs. Struve
Bojan Velickovic,"September 02, 2017",35,L,Decision,2,7,0,1,32,141,2,2,16,109,0,16,28,"Rotterdam, Zuid-Holland, Netherlands",0,Marc Goddard,0,3,144,34,181,69,0,0,3,UFC Fight Night: Volkov vs. Struve
Mairbek Taisumov,"September 02, 2017",36,W,KO/TKO,0,1,0,0,2,4,0,0,1,2,1,1,1,"Rotterdam, Zuid-Holland, Netherlands",0,Leon Roberts,0,1,4,2,4,2,0,0,0,UFC Fight Night: Volkov vs. Struve
Felipe Silva,"September 02, 2017",36,L,KO/TKO,0,1,0,0,0,7,0,0,0,6,0,0,0,"Rotterdam, Zuid-Holland, Netherlands",0,Leon Roberts,0,1,7,0,7,0,0,0,0,UFC Fight Night: Volkov vs. Struve
Michel Prazeres,"September 02, 2017",37,W,Submission,5,10,4,5,11,31,11,12,21,38,0,0,0,"Rotterdam, Zuid-Holland, Netherlands",15,Kevin Sataki,0,3,48,26,69,43,1,4,6,UFC Fight Night: Volkov vs. Struve
Mads Burnell,"September 02, 2017",37,L,Submission,5,8,2,3,8,27,0,0,4,21,0,1,1,"Rotterdam, Zuid-Holland, Netherlands",0,Kevin Sataki,0,3,30,10,32,12,0,0,0,UFC Fight Night: Volkov vs. Struve
Rustam Khabilov,"September 02, 2017",38,W,Decision,6,11,3,9,31,99,0,0,22,90,0,6,7,"Rotterdam, Zuid-Holland, Netherlands",0,Neil Hall,0,3,108,34,109,35,0,3,11,UFC Fight Night: Volkov vs. Struve
Desmond Green,"September 02, 2017",38,L,Decision,7,12,8,15,39,96,0,0,22,80,0,18,19,"Rotterdam, Zuid-Holland, Netherlands",0,Neil Hall,0,3,111,47,119,53,0,1,2,UFC Fight Night: Volkov vs. Struve
Francimar Barroso,"September 02, 2017",39,L,Decision,0,4,0,0,22,53,2,2,14,39,0,10,12,"Rotterdam, Zuid-Holland, Netherlands",1,Marc Goddard,0,3,55,24,69,36,0,2,14,UFC Fight Night: Volkov vs. Struve
Aleksandar Rakic,"September 02, 2017",39,W,Decision,10,16,2,6,44,144,0,0,22,114,0,14,20,"Rotterdam, Zuid-Holland, Netherlands",0,Marc Goddard,0,3,150,46,179,75,0,0,0,UFC Fight Night: Volkov vs. Struve
Mike Santiago,"September 02, 2017",40,L,Submission,7,14,14,21,10,46,0,0,6,40,0,11,13,"Rotterdam, Zuid-Holland, Netherlands",0,Leon Roberts,0,2,67,24,77,32,0,2,7,UFC Fight Night: Volkov vs. Struve
Zabit Magomedsharipov,"September 02, 2017",40,W,Submission,8,10,8,11,25,41,12,13,34,52,0,3,3,"Rotterdam, Zuid-Holland, Netherlands",2,Leon Roberts,2,2,65,45,97,70,2,1,3,UFC Fight Night: Volkov vs. Struve
Bojan Mihajlovic,"September 02, 2017",41,L,KO/TKO,0,1,0,1,1,11,0,1,1,12,0,0,0,"Rotterdam, Zuid-Holland, Netherlands",0,Kevin Sataki,0,2,13,1,21,7,0,0,0,UFC Fight Night: Volkov vs. Struve
Abdul-Kerim Edilov,"September 02, 2017",41,W,KO/TKO,16,17,6,12,9,22,62,91,59,105,0,2,3,"Rotterdam, Zuid-Holland, Netherlands",0,Kevin Sataki,0,2,125,77,210,150,1,2,2,UFC Fight Night: Volkov vs. Struve
Thibault Gouti,"September 02, 2017",42,W,KO/TKO,3,6,13,24,24,54,4,8,37,77,1,1,3,"Rotterdam, Zuid-Holland, Netherlands",0,Neil Hall,0,1,86,41,88,43,0,0,0,UFC Fight Night: Volkov vs. Struve
Andrew Holbrook,"September 02, 2017",42,L,KO/TKO,6,12,3,5,19,49,0,0,14,39,0,2,3,"Rotterdam, Zuid-Holland, Netherlands",0,Neil Hall,0,1,54,22,54,22,0,0,6,UFC Fight Night: Volkov vs. Struve
Sergio Pettis,"August 05, 2017",43,W,Decision,11,17,2,2,72,230,2,3,55,203,0,10,15,"Mexico City, Distrito Federal, Mexico",0,John McCarthy,0,5,235,76,244,84,0,0,1,UFC Fight Night: Pettis vs. Moreno
Brandon Moreno,"August 05, 2017",43,L,Decision,12,19,1,4,38,147,6,10,26,130,0,7,12,"Mexico City, Distrito Federal, Mexico",1,John McCarthy,0,5,161,45,193,70,0,4,8,UFC Fight Night: Pettis vs. Moreno
Randa Markos,"August 05, 2017",44,L,Decision,5,7,6,9,29,91,10,13,40,106,0,0,0,"Mexico City, Distrito Federal, Mexico",5,Jerin Valel,1,3,113,45,141,71,0,4,11,UFC Fight Night: Pettis vs. Moreno
Alexa Grasso,"August 05, 2017",44,W,Decision,7,10,13,16,47,137,4,4,44,133,0,13,14,"Mexico City, Distrito Federal, Mexico",1,Jerin Valel,1,3,157,64,224,121,0,0,0,UFC Fight Night: Pettis vs. Moreno
Alan Jouban,"August 05, 2017",45,L,KO/TKO,1,1,0,0,5,9,0,0,3,7,0,1,1,"Mexico City, Distrito Federal, Mexico",0,Gary Copeland,0,1,9,5,9,5,0,0,0,UFC Fight Night: Pettis vs. Moreno
