body,body_attempts,clinch,clinch_attempts,date,distance,distance_attempts,fight_id,ground,ground_attempts,head,head_attempts,kd,leg,leg_attempts,location,method,name,pass,referee,reversals,round,sig_attempts,sig_strikes,strike_attempts,strikes,sub_attempts,takedowns,td_attempts,title,win/loss
2,7,0,1,"September 02, 2017",32,141,35,2,2,16,109,0,16,28,"Rotterdam, Zuid-Holland, Netherlands",Decision,ERROR,0,Marc Goddard,0,3,144,34,181,69,0,0,3,UFC Fight Night: Volkov vs. Struve,ERROR
0,1,0,0,"September 02, 2017",2,4,36,0,0,1,2,1,1,1,"Rotterdam, Zuid-Holland, Netherlands",KO/TKO,ERROR,0,Leon Roberts,0,1,4,2,4,2,0,0,0,UFC Fight Night: Volkov vs. Struve,ERROR
0,1,0,0,"September 02, 2017",0,7,36,0,0,0,6,0,0,0,"Rotterdam, Zuid-Holland, Netherlands",KO/TKO,ERROR,0,Leon Roberts,0,1,7,0,7,0,0,0,0,UFC Fight Night: Volkov vs. Struve,ERROR
5,10,4,5,"September 02, 2017",11,31,37,11,12,21,38,0,0,0,"Rotterdam, Zuid-Holland, Netherlands",Submission,ERROR,15,Kevin Sataki,0,3,48,26,69,43,1,4,6,UFC Fight Night: Volkov vs. Struve,ERROR
5,8,2,3,"September 02, 2017",8,27,37,0,0,4,21,0,1,1,"Rotterdam, Zuid-Holland, Netherlands",Submission,ERROR,0,Kevin Sataki,0,3,30,10,32,12,0,0,0,UFC Fight Night: Volkov vs. Struve,ERROR
6,11,3,9,"September 02, 2017",31,99,38,0,0,22,90,0,6,7,"Rotterdam, Zuid-Holland, Netherlands",Decision,ERROR,0,Neil Hall,0,3,108,34,109,35,0,3,11,UFC Fight Night: Volkov vs. Struve,ERROR
7,12,8,15,"September 02, 2017",39,96,38,0,0,22,80,0,18,19,"Rotterdam, Zuid-Holland, Netherlands",Decision,ERROR,0,Neil Hall,0,3,111,47,119,53,0,1,2,UFC Fight Night: Volkov vs. Struve,ERROR
0,4,0,0,"September 02, 2017",22,53,39,2,2,14,39,0,10,12,"Rotterdam, Zuid-Holland, Netherlands",Decision,ERROR,1,Marc Goddard,0,3,55,24,69,36,0,2,14,UFC Fight Night: Volkov vs. Struve,ERROR
10,16,2,6,"September 02, 2017",44,144,39,0,0,22,114,0,14,20,"Rotterdam, Zuid-Holland, Netherlands",Decision,ERROR,0,Marc Goddard,0,3,150,46,179,75,0,0,0,UFC Fight Night: Volkov vs. Struve,ERROR
7,14,14,21,"September 02, 2017",10,46,40,0,0,6,40,0,11,13,"Rotterdam, Zuid-Holland, Netherlands",Submission,ERROR,0,Leon Roberts,0,2,67,24,77,32,0,2,7,UFC Fight Night: Volkov vs. Struve,ERROR
