title,link,date,location
UFC Fight Night: Chiesa vs. Lee,http://www.fightmetric.com/fight-details/9a79a4b97a0f1e24,"June 25, 2017","Oklahoma City, Oklahoma, USA"
UFC Fight Night: Chiesa vs. Lee,http://www.fightmetric.com/fight-details/3d1f83264d87c529,"June 25, 2017","Oklahoma City, Oklahoma, USA"
UFC Fight Night: Chiesa vs. Lee,http://www.fightmetric.com/fight-details/1bd52b0c01018f4a,"June 25, 2017","Oklahoma City, Oklahoma, USA"
UFC Fight Night: Chiesa vs. Lee,http://www.fightmetric.com/fight-details/f7ae397fefa57c70,"June 25, 2017","Oklahoma City, Oklahoma, USA"
UFC Fight Night: Chiesa vs. Lee,http://www.fightmetric.com/fight-details/1e75ee0da189857b,"June 25, 2017","Oklahoma City, Oklahoma, USA"
UFC Fight Night: Chiesa vs. Lee,http://www.fightmetric.com/fight-details/eafda776967c6444,"June 25, 2017","Oklahoma City, Oklahoma, USA"
UFC Fight Night: Chiesa vs. Lee,http://www.fightmetric.com/fight-details/aebdb007f8d1348a,"June 25, 2017","Oklahoma City, Oklahoma, USA"
UFC Fight Night: Holm vs. Correia,http://www.fightmetric.com/fight-details/0096879f5708526b,"June 17, 2017","Kallang, Singapore"
UFC Fight Night: Holm vs. Correia,http://www.fightmetric.com/fight-details/205ad947e8c94901,"June 17, 2017","Kallang, Singapore"
UFC Fight Night: Holm vs. Correia,http://www.fightmetric.com/fight-details/b6464850da8f3099,"June 17, 2017","Kallang, Singapore"
UFC Fight Night: Holm vs. Correia,http://www.fightmetric.com/fight-details/a69a155a25b84679,"June 17, 2017","Kallang, Singapore"
UFC Fight Night: Holm vs. Correia,http://www.fightmetric.com/fight-details/fc2585e234e49dee,"June 17, 2017","Kallang, Singapore"
UFC Fight Night: Holm vs. Correia,http://www.fightmetric.com/fight-details/9072bf6135cad3e0,"June 17, 2017","Kallang, Singapore"
UFC Fight Night: Holm vs. Correia,http://www.fightmetric.com/fight-details/b66f4fa1b9b96b51,"June 17, 2017","Kallang, Singapore"
UFC Fight Night: Holm vs. Correia,http://www.fightmetric.com/fight-details/a71e4206f87ae74c,"June 17, 2017","Kallang, Singapore"
UFC Fight Night: Holm vs. Correia,http://www.fightmetric.com/fight-details/8984ab656cb1818d,"June 17, 2017","Kallang, Singapore"
UFC Fight Night: Holm vs. Correia,http://www.fightmetric.com/fight-details/361e67af5f462aea,"June 17, 2017","Kallang, Singapore"
UFC Fight Night: Holm vs. Correia,http://www.fightmetric.com/fight-details/e7b5a8c97106ca60,"June 17, 2017","Kallang, Singapore"
UFC Fight Night: Holm vs. Correia,http://www.fightmetric.com/fight-details/7d14f95d03afb359,"June 17, 2017","Kallang, Singapore"
UFC Fight Night: Lewis vs. Hunt,http://www.fightmetric.com/fight-details/cd96998e837b0da1,"June 10, 2017","Auckland, New Zealand"
UFC Fight Night: Lewis vs. Hunt,http://www.fightmetric.com/fight-details/ad772f626b5dd31d,"June 10, 2017","Auckland, New Zealand"
UFC Fight Night: Lewis vs. Hunt,http://www.fightmetric.com/fight-details/dc7ba55ca764cfbe,"June 10, 2017","Auckland, New Zealand"
UFC Fight Night: Lewis vs. Hunt,http://www.fightmetric.com/fight-details/4507354cd97f10e5,"June 10, 2017","Auckland, New Zealand"
UFC Fight Night: Lewis vs. Hunt,http://www.fightmetric.com/fight-details/2dfa31667cee74c3,"June 10, 2017","Auckland, New Zealand"
UFC Fight Night: Lewis vs. Hunt,http://www.fightmetric.com/fight-details/e4db3b1669d498c3,"June 10, 2017","Auckland, New Zealand"
UFC Fight Night: Lewis vs. Hunt,http://www.fightmetric.com/fight-details/165d3a571fcc5e3c,"June 10, 2017","Auckland, New Zealand"
UFC Fight Night: Lewis vs. Hunt,http://www.fightmetric.com/fight-details/288b479c485c48b2,"June 10, 2017","Auckland, New Zealand"
UFC Fight Night: Lewis vs. Hunt,http://www.fightmetric.com/fight-details/11cb7d7d774d5e6a,"June 10, 2017","Auckland, New Zealand"
UFC Fight Night: Lewis vs. Hunt,http://www.fightmetric.com/fight-details/1b1d1900b4051344,"June 10, 2017","Auckland, New Zealand"
UFC Fight Night: Lewis vs. Hunt,http://www.fightmetric.com/fight-details/bd4a648bebaefab3,"June 10, 2017","Auckland, New Zealand"
UFC 212: Aldo vs. Holloway,http://www.fightmetric.com/fight-details/9ed0c3acc436eb56,"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC 212: Aldo vs. Holloway,http://www.fightmetric.com/fight-details/5bfaa389a67139fd,"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC 212: Aldo vs. Holloway,http://www.fightmetric.com/fight-details/823e9449bd47e408,"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC 212: Aldo vs. Holloway,http://www.fightmetric.com/fight-details/6b581bb1bc9289ef,"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC 212: Aldo vs. Holloway,http://www.fightmetric.com/fight-details/6c9fdcb95393a49c,"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC 212: Aldo vs. Holloway,http://www.fightmetric.com/fight-details/228879162d8be605,"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC 212: Aldo vs. Holloway,http://www.fightmetric.com/fight-details/3ad3acca165a5d90,"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC 212: Aldo vs. Holloway,http://www.fightmetric.com/fight-details/36f0c6d7126e09ee,"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC 212: Aldo vs. Holloway,http://www.fightmetric.com/fight-details/cb2844bb15d22cc6,"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC 212: Aldo vs. Holloway,http://www.fightmetric.com/fight-details/2fd43be584ef522b,"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC 212: Aldo vs. Holloway,http://www.fightmetric.com/fight-details/88e0de323a83f241,"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil"
